blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,shank_diameter_mm,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,Kompatibel zu Sirona.pdf,without coating,numeric,16.0,cylindric radial cutter,,,,tungsten carbide,43.0,4,500 343 201 160 010,3.0,,1.0,98.00100326538086,148.80330657958984,
0,Kompatibel zu Sirona.pdf,without coating,numeric,5.4,radial cutter conical,,,,,34.0,6,806 334 300 054 006,3.0,0.6,0.6,343.2163543701172,453.47950744628906,
0,Kompatibel zu Sirona.pdf,without coating,numeric,5.4,cylindric torus cutter,,,,,35.0,6,806 335 400 054 014,3.0,1.4,1.4,184.48036193847656,453.47950744628906,
0,Kompatibel zu Sirona.pdf,without coating,numeric,5.4,radial cutter conical,,,,,36.0,6,806 336 300 054 012,3.0,1.2,1.2,263.8483657836914,453.47950744628906,
0,Kompatibel zu Sirona.pdf,without coating,numeric,7.6,cylindric torus cutter,,,,,37.0,6,806 337 400 076 022,3.0,2.2,2.2,105.11240005493164,453.47950744628906,
