blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
4,CABINET (3).pdf,without coating,numeric,19.0,cutter cylindric blunt-edged,,,,tungsten carbide,4.0,73,500 104 194 190 040,,1.0,,,4.0,194.0899658203125,329.0871124267578,
4,CABINET (3).pdf,without coating,numeric,22.3,cutter cylindric blunt-edged,,,,tungsten carbide,4.0,72,500 104 194 223 070,,1.0,,,7.0,113.80191040039062,408.3747100830078,
1,CABINET (3).pdf,without coating,numeric,14.0,cylindric radial cutter,,,,tungsten carbide,4.0,72,500 104 201 140 023,,1.0,,,2.3,274.37786865234375,757.4613952636719,
1,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 104 201 190 023,,1.0,,,2.3,274.3779602050781,329.0871124267578,
1,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 104 201 190 060,,1.0,,,6.0,354.6659698486328,329.0871124267578,
4,CABINET (3).pdf,without coating,numeric,29.7,cylindric radial cutter,,,,tungsten carbide,4.0,44,500 104 254 297 012,,1.0,,,1.2,113.62990188598633,732.2221374511719,
4,CABINET (3).pdf,without coating,numeric,29.7,cylindric radial cutter,,,,tungsten carbide,4.0,44,500 104 254 297 016,,1.0,,,1.6,193.92189025878906,732.2221374511719,
4,CABINET (3).pdf,without coating,numeric,29.8,cylindric radial cutter,,,,tungsten carbide,4.0,46,500 104 254 298 012,,1.0,,,1.2,194.09397888183594,753.9693298339844,
5,CABINET (3).pdf,without coating,numeric,29.8,cylindric radial cutter,,,,tungsten carbide,4.0,47,500 104 255 298 012,,1.0,,1.2,1.2,112.95159149169922,486.2841033935547,
4,CABINET (3).pdf,without coating,numeric,14.0,cylindric radial cutter,,,,tungsten carbide,4.0,72,500 104 274 140 060,,1.0,,,6.0,354.66583251953125,757.4613952636719,
4,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 104 274 190 060,,1.0,,,6.0,113.80189514160156,489.14622497558594,
